Район,Адреса,Телефони,Сайт суду,Назва суду,email,Розклад,Тип суду,Місто,Сторінка суду,Область
Дзержинський,"61202, м. Харків, проспект Перемоги, 52-В",+38 (057) 336-82-70,http://dg.hr.court.gov.ua,Дзержинський районний суд м. Харкова,inbox@dg.hr.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Харків,http://dg.hr.court.gov.ua/sud2011/,Харківська
Жовтневий,"61052, м. Харків, вул. Полтавський шлях, 45 . адреса канцелярій 61052, м. Харків, вул. Полтавський шлях, 37",(057) 734-91-87,http://jv.hr.court.gov.ua,Жовтневий районний суд м. Харкова,inbox@jv.hr.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Харків,http://jv.hr.court.gov.ua/sud2012/,Харківська
Київський,"61168, м. Харків, вул. Блюхера, 7 б",(0572) 65-37-78,http://ki.hr.court.gov.ua,Київський районний суд м. Харкова,inbox@ki.hr.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Харків,http://ki.hr.court.gov.ua/sud2018/,Харківська
Комінтернівський,"61068, м. Харків, пров.Брянський, 5",(057) 771-46-62,http://km.hr.court.gov.ua,Комінтернівський районний суд м. Харкова,inbox@km.hr.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Харків,http://km.hr.court.gov.ua/sud2020/,Харківська
Ленінський,"61052, м. Харків, вул. Полтавський шлях, 20",(057) 712-17-52,http://ln.hr.court.gov.ua,Ленінський районний суд м. Харкова,inbox@ln.hr.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Харків,http://ln.hr.court.gov.ua/sud2024/,Харківська
Московський,"61005, м. Харків, пр-т 50 річчя ВЛКСМ, 38Є",Вхідна кореспонденція (057) 778-13-98 Канцелярія з цивільних справ (057) 62-61-13 Канцелярія з кримінальних справ (057) 778-13-99 Канцелярія з адміністративних справ (057) 62-61-47,http://ms.hr.court.gov.ua,Московський районний суд м. Харкова,inbox@ms.hr.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Харків,http://ms.hr.court.gov.ua/sud2027/,Харківська
Орджонікідзевський,"61007, м. Харків, проспект Орджонікідзе, 7",(0572) 93-50-23,http://og.hr.court.gov.ua,Орджонікідзевський районний суд м. Харкова,inbox@og.hr.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Харків,http://og.hr.court.gov.ua/sud2029/,Харківська
Фрунзенський,"61099, м. Харків, бул. Б.Хмельницького, 32/38",(057) 392-13-54,http://fr.hr.court.gov.ua,Фрунзенський районний суд м. Харкова,inbox@fr.hr.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Харків,http://fr.hr.court.gov.ua/sud2033/,Харківська
Червонозаводський,"61001 м. Харків, майдан Руднєва 36, 3 під'їзд",(057) 733-34-54,http://cz.hr.court.gov.ua,Червонозаводський районний суд м. Харкова,inbox@cz.hr.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Харків,http://cz.hr.court.gov.ua/sud2035/,Харківська
Придніпровський,"18015, м. Черкаси, вул. Гоголя, 316 (третій поверх)",(0472) 37-30-76 Канцелярія,http://pp.ck.court.gov.ua,Придніпровський районний суд м. Черкас,inbox@pp.ck.court.gov.ua,Пн-Чт з 08:00 до 17:15 Пт з 08:00 до 15:00 Перерва з 13:00 до 14:00,Районний у місті суд,Черкаси,http://pp.ck.court.gov.ua/sud2314/,Черкаська
Соснівський,"18000, м. Черкаси, вул. Гоголя, 316",(0472) 45-62-15,http://sn.ck.court.gov.ua,Соснівський районний суд м.Черкаси,inbox@sn.ck.court.gov.ua,Пн-Чт з 08:00 до 17:15 Пт з 08:00 до 15:00 Перерва з 13:00 до 14:00,Районний у місті суд,Черкаси,http://sn.ck.court.gov.ua/sud2316/,Черкаська
Баглійський,"51909, м. Дніпродзержинськ, пр. Конституції, 64","Приймальня - (05692) 7-43-42, Керівник апарату - (0569) 53-93-48, Канцелярія - (05692) 7-43-52 (факс)",http://bg.dp.court.gov.ua,Баглійський районний суд м. Дніпродзержинська,inbox@bg.dp.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Дніпродзержинськ,http://bg.dp.court.gov.ua/sud0404/,Дніпропетровська
Дніпровський,"51918, м. Дніпрозержинськ, вул. Петровського, 166",код 38(0569) - 55-28-95; канцелярия- 55-28-63; факс- 55-28-71,http://dn.dp.court.gov.ua,Дніпровський районний суд м. Дніпродзержинська,inbox@dn.dp.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Дніпродзержинськ,http://dn.dp.court.gov.ua/sud0409/,Дніпропетровська
Заводський,"51925, м.Дніпродзержинськ вул. Губи, 5",(05692) 3-06-73,http://zv.dp.court.gov.ua,Заводський районний суд м. Дніпродзержинська,inbox@zv.dp.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Дніпродзержинськ,http://zv.dp.court.gov.ua/sud0415/,Дніпропетровська
Жовтневий,,,,,,,Районний у місті суд,Запоріжжя,,Запорізька
Заводський,"69009 м.Запоріжжя, вул. Лізи Чайкіної 65",(061) 236-59-98,http://zv.zp.court.gov.ua,Заводський районний суд м. Запоріжжя,inbox@zv.zp.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 13:00 до 13:45,Районний у місті суд,Запоріжжя,http://zv.zp.court.gov.ua/sud0809/,Запорізька
Комунарський,"69104, м.Запоріжжя, вул.Малиновського, 7",(061) 289-88-76,http://km.zp.court.gov.ua,Комунарський районний суд м. Запоріжжя,inbox@km.zp.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 17:00 Перерва з 13:00 до 14:00,Районний у місті суд,Запоріжжя,http://km.zp.court.gov.ua/sud0812/,Запорізька
Ленінський,"69006, м. Запоріжжя, вул. 40 років Радянської України, 1/2",(061) 283-08-13,http://ln.zp.court.gov.ua,Ленінський районний суд м. Запоріжжя,inbox@ln.zp.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 13:00 до 13:45,Районний у місті суд,Запоріжжя,http://ln.zp.court.gov.ua/sud0814/,Запорізька
Орджонікідзевський,"69035, м. Запоріжжя, вул. Перемоги, 51",www.og.zp.court.gov.ua/sud0818/kancelyzriya/,http://og.zp.court.gov.ua,Орджонікідзевський районний суд м. Запоріжжя,inbox@og.zp.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Запоріжжя,http://og.zp.court.gov.ua/sud0818/,Запорізька
Хортицький,"69076, м. Запоріжжя, пр-т Ювілейний, 33",(061) 224-95-73,http://hr.zp.court.gov.ua,Хортицький районний суд м. Запоріжжя,inbox@hr.zp.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Запоріжжя,http://hr.zp.court.gov.ua/sud0825/,Запорізька
Шевченківський,"69071, м. Запоріжжя, вул. Чарівна 117 ""а""",(061) 222-26-03,http://sh.zp.court.gov.ua,Шевченківський районний суд м. Запоріжжя,inbox@sh.zp.court.gov.ua,Пн-Чт з 08:30 до 17:30 Пт з 08:30 до 16:15 Перерва з 13:00 до 13:45,Районний у місті суд,Запоріжжя,http://sh.zp.court.gov.ua/sud0827/,Запорізька
Богунський,"10014, м. Житомир, Соборний майдан, 1",0(412) 37-50-14,http://bg.zt.court.gov.ua,Богунський районний суд м. Житомира,inbox@bg.zt.court.gov.ua,Пн-Чт з 09:00 до 18:15 Пт з 09:00 до 17:00 Перерва з 13:00 до 14:00,Районний у місті суд,Житомир,http://bg.zt.court.gov.ua/sud0604/,Житомирська
Корольовський,"10000, м. Житомир, Соборний майдан, 1",(0412) 37-84-87,http://kl.zt.court.gov.ua,Корольовський районний суд м. Житомира,inbox@kl.zt.court.gov.ua,Пн-Чт з 09:00 до 18:15 Пт з 09:00 до 17:00 Перерва з 13:00 до 14:00,Районний у місті суд,Житомир,http://kl.zt.court.gov.ua/sud0609/,Житомирська
Будьоннівський,"83058, м. Донецьк, вул. Арктики, 20","(062) 306-50-20, (062) 306-50-10",http://bd.dn.court.gov.ua,Будьоннівський районний суд м. Донецька,inbox@bd.dn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Донецьк,http://bd.dn.court.gov.ua/sud0504/,Донецька
Ворошиловський,"83015, м. Донецьк, вул. Любавіна, 4, 4-ий та 5-ий поверхи","(062) 338-43-39, 338-43-28, 338-38-35, 338-43-61. Факс: (062) 338-43-28, 338-38-35",http://vr.dn.court.gov.ua,Ворошиловський районний суд м. Донецька,inbox@vr.dn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Донецьк,http://vr.dn.court.gov.ua/sud0508/,Донецька
Калінінський,"83052, м. Донецьк, пр. Миру, 50",294-11-24,http://kl.dn.court.gov.ua,Калінінський районний суд м. Донецька,inbox@kl.dn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Донецьк,http://kl.dn.court.gov.ua/sud0522/,Донецька
Київський,"83054, м. Донецьк, вул. Собінова, 147",(062) 258-32-45,http://kv.dn.court.gov.ua,Київський районний суд м. Донецька,inbox@kv.dn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Донецьк,http://kv.dn.court.gov.ua/sud0523/,Донецька
Кіровський,"83095, м. Донецьк, вул. Юності, 22",(062) 277-06-85,http://kr.dn.court.gov.ua,Кіровський районний суд м. Донецька,inbox@kr.dn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:48,Районний у місті суд,Донецьк,http://kr.dn.court.gov.ua/sud0525/,Донецька
Куйбишевський,"83012, м. Донецьк, вул. Соколінна, 1",(062) 253-36-40,http://kb.dn.court.gov.ua,Куйбишевський районний суд м. Донецька,inbox@kb.dn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Донецьк,http://kb.dn.court.gov.ua/sud0531/,Донецька
Ленінський,"83062, м. Донецьк, вул. Аксакова, 56","(0622) 66-13-01, 266-21-01",http://ln.dn.court.gov.ua,Ленінський районний суд м. Донецька,inbox@ln.dn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Донецьк,http://ln.dn.court.gov.ua/sud0532/,Донецька
Петровський,"83111, м. Донецьк, вул. Салтикова-Щедрина, 1а",(062) 203-31-19,http://ptv.dn.court.gov.ua,Петровський районний суд м. Донецька,inbox@ptv.dn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Донецьк,http://ptv.dn.court.gov.ua/sud0540/,Донецька
Пролетарський,"83044, м. Донецьк, вул. Літке, 10","(062) 316-11-09 ,fax: (062) 222-40-37",http://pl.dn.court.gov.ua,Пролетарський районний суд м. Донецька,inbox@pl.dn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Донецьк,http://pl.dn.court.gov.ua/sud0542/,Донецька
Жовтневий,"87500, м. Маріуполь, пр-т Металургів, 31","(0629) 33-13-72, 33-30-12",http://gvt.dn.court.gov.ua,Жовтневий районний суд м. Маріуполя,inbox@gvt.dn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Маріуполь,http://gvt.dn.court.gov.ua/sud0519/,Донецька
Іллічівський,"87535, м. Маріуполь, пр-т Металургів, 231",(0629) 47-28-69,http://ill.dn.court.gov.ua,Іллічівський районний суд м. Маріуполя,inbox@ill.dn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Маріуполь,http://ill.dn.court.gov.ua/sud0520/,Донецька
Орджонікідзевський,"87505, м. Маріуполь, пр-т Перемоги, 6","тел.(0629) 58-50-25, факс (0629) 58-50-23",http://org.dn.court.gov.ua,Орджонікідзевський районний суд м. Маріуполя,inbox@org.dn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Маріуполь,http://org.dn.court.gov.ua/sud0538/,Донецька
Приморський,"87525, м. Маріуполь, пр-т Будівельників, 52 а",(0629) 37-57-09 (0629)37-97-29 факс (0629)37-21-90,http://pr.dn.court.gov.ua,Приморський районний суд м. Маріуполя,inbox@pr.dn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Маріуполь,http://pr.dn.court.gov.ua/sud0541/,Донецька
Залізничний,,,,Залізничний районний суд м. Сімферополя,,,Районний у місті суд,Сімферополь,http://court.gov.ua/teh/9,АР Крим
Київський,,,,Київський районний суд м. Сімферополя,,,Районний у місті суд,Сімферополь,http://court.gov.ua/teh/11,АР Крим
Центральний,,,,Центральний районний суд м. Сімферополя,,,Районний у місті суд,Сімферополь,http://court.gov.ua/teh/24,АР Крим
Київський,"36034 м.Полтава, пров. Хорольський 6",(05322) 66-17-63,http://ki.pl.court.gov.ua,Київський районний суд м. Полтави,inbox@ki.pl.court.gov.ua,Пн-Чт з 08:00 до 17:15 Пт з 08:00 до 16:00 Перерва з 12:00 до 13:00,Районний у місті суд,Полтава,http://ki.pl.court.gov.ua/sud1609/,Полтавська
Ленінський,"36022, м.Полтава, вул. Пролетарська, 37 та вул. Панянка, 38",(0532) 60-14-25,http://ln.pl.court.gov.ua,Ленінський районний суд м. Полтави,inbox@ln.pl.court.gov.ua,Пн-Чт з 08:00 до 17:15 Пт з 08:00 до 16:00 Перерва з 12:00 до 13:00,Районний у місті суд,Полтава,http://ln.pl.court.gov.ua/sud1616/,Полтавська
Октябрський,"36002, м.Полтава, вул Навроцького, 5",(0532) 53-24-04,http://ok.pl.court.gov.ua,Октябрський районний суд м. Полтави,inbox@ok.pl.court.gov.ua,Пн-Чт з 08:00 до 17:15 Пт з 08:00 до 16:00 Перерва з 12:00 до 13:00,Районний у місті суд,Полтава,http://ok.pl.court.gov.ua/sud1622/,Полтавська
Автозаводський,"39600, м.Кременчук, вул.Першотравнева, 29/5",(0536) 74-04-19,http://av.pl.court.gov.ua,Автозаводський районний суд м. Кременчука,inbox@av.pl.court.gov.ua,Пн-Чт з 08:00 до 17:15 Пт з 08:00 до 15:45 Перерва з 12:00 до 13:00,Районний у місті суд,Кременчук,http://av.pl.court.gov.ua/sud1601/,Полтавська
Крюківський,"39605, м.Кременчук, вул. Красіна буд. 37/49",(05366) 3-01-96,http://kr.pl.court.gov.ua,Крюківський районний суд м. Кременчука,inbox@kr.pl.court.gov.ua,Пн-Чт з 08:00 до 17:15 Пт з 08:00 до 16:00 Перерва з 12:00 до 13:00,Районний у місті суд,Кременчук,http://kr.pl.court.gov.ua/sud1615/,Полтавська
Київський,"65080, м.Одеса, вул.Варненська,3б",(048) 718-99-43,http://ki.od.court.gov.ua,Київський районний суд м. Одеси,inbox@ki.od.court.gov.ua,Пн-Чт з 08:45 до 17:00 Пт з 08:45 до 17:00 Перерва з 13:00 до 13:45,Районний у місті суд,Одеса,http://ki.od.court.gov.ua/sud1512/,Одеська
Малиновський,"65033 м. Одеса, вул. Василя Стуса, 1а","728-51-02 (Інформаційний центр),728-51-06, 728-40-35 (факс), 728-54-91, 728-51-05 (факс)",http://ml.od.court.gov.ua,Малиновський районний суд м. Одеси,inbox@ml.od.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Одеса,http://ml.od.court.gov.ua/sud1519/,Одеська
Приморський,"65029, м. Одеса, вул. Балківська, 33",(048) 784-71-36 (048) 784-71-48,http://pm.od.court.gov.ua,Приморський районний суд м. Одеси,inbox@pm.od.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Одеса,http://pm.od.court.gov.ua/sud1522/,Одеська
Суворовський,"65003, м. Одеса, вул. Чорноморського козацтва, 68","048-785-68-37, 048-723-33-77",http://sv.od.court.gov.ua,Суворовський районний суд м. Одеси,inbox@sv.od.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 17:00 Перерва з 13:00 до 14:00,Районний у місті суд,Одеса,http://sv.od.court.gov.ua/sud1527/,Одеська
Голосіївський,"03127, м. Київ, вул. Полковника Потєхіна, 14-а","(044) 259-71-10, Веб-сайт: http://gl.ki.court.gov.ua E-mail: inbox@gl.ki.court.gov.ua",http://gl.ki.court.gov.ua,Голосіївський районний суд міста Києва,inbox@gl.ki.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 08:00 до 15:45 Перерва з 13:00 до 13:45,Районний у місті суд,Київ,http://gl.ki.court.gov.ua/sud2601/,м. Київ
Дарницький,"02099, м. Київ, вул. Севастопольська, 14","Дивитись підрозділ меню ""Номера телефонів та розташування працівників суду """,http://dr.ki.court.gov.ua,Дарницький районний суд міста Києва,inbox@dr.ki.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 08:00 до 15:45 Перерва з 13:00 до 13:45,Районний у місті суд,Київ,http://dr.ki.court.gov.ua/sud2602/,м. Київ
Деснянський,"02225, м. Київ, пр-т. Маяковського, 5-в",(044) 547-81-73- загальна канцелярія суду та канцелярія зі справ про адміністративні правопорушення 547-24-23 - цивільна канцелярія 547-37-27- кримінальна канцелярія,http://ds.ki.court.gov.ua,Деснянський районний суд міста Києва,inbox@ds.ki.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Київ,http://ds.ki.court.gov.ua/sud2603/,м. Київ
Дніпровський,"02105, м. Київ, вул. Сергієнка, 3; вул. Кошиця, 5",,http://dn.ki.court.gov.ua,Дніпровський районний суд міста Києва,inbox@dn.ki.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 08:00 до 15:45 Перерва з 13:00 до 13:45,Районний у місті суд,Київ,http://dn.ki.court.gov.ua/sud2604/,м. Київ
Оболонський,"04212, м. Київ, вул.Тимошенка, 2-Є",(044) 418-73-60,http://ob.ki.court.gov.ua,Оболонський районний суд міста Києва,inbox@ob.ki.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 08:00 до 15:45 Перерва з 13:00 до 13:45,Районний у місті суд,Київ,http://ob.ki.court.gov.ua/sud2605/,м. Київ
Печерський,"01001, м. Київ, вул. Хрещатик, 42-А",235-32-78,http://pc.ki.court.gov.ua,Печерський районний суд міста Києва,inbox@pc.ki.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 08:00 до 15:45 Перерва з 13:00 до 13:45,Районний у місті суд,Київ,http://pc.ki.court.gov.ua/sud2606/,м. Київ
